Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Power BI. Передовые методы оптимизации,Мерчант Бхавик,ДМК-Пресс,2540,3908,35,На складе
"Разработка веб-приложений GraphQL с React, Node.js и Neo4j",Лион Уильям,ДМК-Пресс,2722,4187,35,На складе
Основы алгоритмизации и программирования на Python. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,3478,5350,35,На складе
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,2070,2654,22,На складе
Объекты. Стильное ООП,Нобак Маттиас,Питер:Библиотека программиста,2086,Нет старой цены,Нет скидки,На складе
Kafka Streams и ksqlDB. Данные в реальном времени,Сеймур Митч,Питер:Библиотека программиста,2397,3073,22,На складе
Алгоритмы на практике. Решение реальных задач,Зингаро Даниэль,Питер:Библиотека программиста,2030,Нет старой цены,Нет скидки,На складе
Современная программная инженерия. ПО в эпоху эджайла и непрерывного развертывания,Фарли Дэвид,Питер:Для профессионалов,2310,Нет старой цены,Нет скидки,На складе
Внутри Cpython. Гид по интерпретатору Python,Шоу Энтони,Питер:Библиотека программиста,1946,Нет старой цены,Нет скидки,На складе
"40 алгоритмов, которые должен знать каждый программист на Python",Ахмад Имран,Питер:Библиотека программиста,1925,Нет старой цены,Нет скидки,На складе
Грокаем функциональное мышление,Норманд Эрик,Питер:Библиотека программиста,2519,Нет старой цены,Нет скидки,На складе
Основы Python для Data Science,Берман Кеннеди,Питер:Библиотека программиста,2086,Нет старой цены,Нет скидки,На складе
Фундаментальные основы хакерства. Анализ программ в среде Win64,"Касперски Крис, Язев Юрий Евгеньевич",Солон-пресс:Программирование,3450,5307,35,На складе
Основы компьютерного моделирования и визуализации + Электронное приложение,Борзяк Андрей Александрович и др.,Лань:Компьютеры и программное обеспечение,4903,7543,35,На складе
UX/UI дизайн для создания идеального продукта. Полный и исчерпывающий гид,Шуваев Ярослав Александрович,Бомбора:Библиотека цифровой трансформации,1803,Нет старой цены,Нет скидки,На складе
Грокаем алгоритмы искусственного интеллекта,Харбанс Ришал,Питер:Библиотека программиста,1708,Нет старой цены,Нет скидки,На складе
Сделай видеоигру один и не свихнись,Грис Слава,АСТ:Видеоигры: глубокое погружение,669,916,27,На складе
Программирование в Unreal Engine 5 для начинающего игродела. Основы визуального языка Blueprint,"Максименкова Ольга Вениаминовна, Веселко Никита И.",Бомбора:Российский компьютерный бестселлер,2551,Нет старой цены,Нет скидки,На складе
C# 10 и .NET 6. Современная кросс-платформенная разработка,Прайс Марк Дж.,Питер:Для профессионалов,4746,Нет старой цены,Нет скидки,На складе
Computer Science для программиста-самоучки. Все что нужно знать о структурах данных и алгоритмах,Альтхофф Кори,Питер:Библиотека программиста,1393,Нет старой цены,Нет скидки,На складе
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи Мехди и др.,Питер:Бестселлеры O`Reilly,3795,4865,22,На складе
Head First. Изучаем Swift,"Мэннинг Джон, Баттфилд-Эддисон Пэрис",Питер:Head First (O'Reilly),2807,3599,22,На складе
Kubernetes изнутри,"Вьяс Джей, Лав Крис",ДМК-Пресс,2722,4187,35,На складе
С++ 20 в деталях,Райнер Гримм,ДМК-Пресс,3267,5026,35,На складе
"Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python",Орланд Пол,Питер:Библиотека программиста,3430,Нет старой цены,Нет скидки,На складе
Pandas в действии,Пасхавер Борис,Питер:Библиотека программиста,2738,3510,22,На складе
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2453,3774,35,На складе
Цифровая обработка изображений в OpenCv. Практикум. Учебное пособие,Матвеев Александр Иванович,Лань:Компьютеры и программное обеспечение,980,1508,35,Ограничено
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2453,3774,35,Ограничено
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,2429,3737,35,На складе
Java. Полное руководство,Шилдт Герберт,Вильямс,4427,6810,35,На складе
JavaScript для начинающих,МакГрат Майк,Бомбора:Мировой компьютерный бестселлер (обложка),1322,Нет старой цены,Нет скидки,На складе
,,,0,Нет старой цены,Нет скидки,
Интерактивные дашборды и приложения с Plotly и Dash. Используем полноценный веб-фреймворк в Python,Дабасс Элиас,ДМК-Пресс,2358,3628,35,На складе
Kotlin. Программирование для профессионалов,Скин Джош и др.,Питер:Для профессионалов,2859,3665,22,На складе
Тестирование JavaScript,Коста Лукас да,Питер:Библиотека программиста,2547,3265,22,На складе
Программируем на Java,Лой Марк и др.,Питер:Бестселлеры O`Reilly,2836,3636,22,На складе
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский Яков Самуилович, Гутгарц Римма Давыдовна",ИНФРА-М:Среднее профессиональное образование,2123,3266,35,Ограничено
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,2621,4032,35,Ограничено
Asyncio и конкурентное программирование на Python,Фаулер Мэттью,ДМК-Пресс,3085,4746,35,На складе
Создай свой собственный язык программирования. Руководство программиста по разработке компиляторов,Джеффери Клинтон Л.,ДМК-Пресс,2812,4326,35,На складе
Учимся рисовать на компьютере кодом p5.js,"Розанов Андрей Николаевич, Жуков Кирилл Леонидович",ДМК-Пресс,1815,2793,35,На складе
Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие,"Поляков Анатолий Евгеньевич, Иванов Максим Сергеевич",Лань,4576,7040,35,На складе
Система контроля версий. Основы командной разработки. Учебное пособие,"Васильева Марина Алексеевна, Филипченко Константин Михайлович",Лань:Компьютеры и программное обеспечение,4576,7040,35,Ограничено
Разработка программного тренажера в среде многоагентного моделирования NetLogo. Учебное пособие,Исхаков Алмаз Раилевич,Лань:Компьютеры и программное обеспечение,3596,5532,35,Ограничено
Эффективное тестирование программного обеспечения,Аниче Маурисио,ДМК-Пресс,3267,5026,35,На складе
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,2823,3619,22,На складе
,,,0,Нет старой цены,Нет скидки,
Микропроцессорные системы. Применение микроконтроллеров семейства AVR для управления внешними устр.,Сонькин Михаил Аркадьевич и др.,Инфра-Инженерия,888,1366,35,На складе
Основы визуального программирования в среде Visual Studio на базе C#,Мартыненко Татьяна Владимировна и др.,Инфра-Инженерия,1113,1712,35,На складе
Пять строк кода. Роберт Мартин рекомендует,Клаусен Кристиан,Питер:Библиотека программиста,1701,2181,22,На складе
Python. Исчерпывающее руководство,Бизли Дэвид,Питер:Для профессионалов,2240,2872,22,На складе
Практикум по анализу данных на языках Python и R. Учебное пособие,Баюк Олег Александрович и др.,Прометей,612,941,35,На складе
Знакомство с Python,Бейдер Дэн и др.,Питер:Библиотека программиста,2114,Нет старой цены,Нет скидки,На складе
Теория и практика программирования на языке Pascal,"Расолько Галина Алексеевна, Кремень Юрий Алексеевич",Вышэйшая школа,13686,21056,35,Ограничено
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow",Коул Анирад и др.,Питер:Бестселлеры O`Reilly,3787,4855,22,На складе
Грокаем стриминг,"Фишер Джош, Ван Нин",Питер:Библиотека программиста,1702,2182,22,На складе
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,"Горелик Миша, Йен Освальд",Бомбора:Мировой компьютерный бестселлер (обложка),2178,Нет старой цены,Нет скидки,На складе
Проектирование и разработка интерфейсов пользователя. Учебное пособие. ФГОС СПО,"Шитов Виктор Николаевич, Успенский Кирилл Евгеньевич",Кнорус:Среднее профессиональное образование,1719,2644,35,Ограничено
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3269,5029,35,На складе
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для СПО",Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3269,5029,35,На складе
Entity Framework Core в действии,Смит Джон П.,ДМК-Пресс,3629,5583,35,На складе
API в разработке приложений Autodesk Inventor. Практическое руководство,Дюймовский Пайни,Инфра-Инженерия,2413,3713,35,На складе
Python без проблем. Решаем реальные задачи и пишем полезный код,Зингаро Даниэль,Питер:Библиотека программиста,1618,2074,22,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2786,Нет старой цены,Нет скидки,На складе
Кибердзюцу. Кибербезопасность для современных ниндзя,Маккарти Бен,Питер:Библиотека программиста,1845,2365,22,На складе
Black Hat Go. Программирование для хакеров и пентестеров,Коттманн Дэн и др.,Питер:Библиотека программиста,2511,3219,22,На складе
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер:Библиотека программиста,1417,1817,22,На складе
Разработка интерфейсов. Паттерны проектирования,Тидвелл Дженифер и др.,Питер:Бестселлеры O`Reilly,2766,3546,22,На складе
Компьютерные системы. Архитектура и программирование,"Брайант Рэндал Э., О`Халларон Дэвид",ДМК-Пресс,4536,6979,35,На складе
Социальная инженерия и этичный хакинг на практике,Грей Джо,ДМК-Пресс,1815,2793,35,На складе
Spring быстро,Спилкэ Лауренциу,Питер,2836,3636,22,На складе
Kali Linux. Библия пентестера,Хаваджа Гас,Питер:Для профессионалов,4241,5437,22,На складе
